player,win_count,tournament_win_probability,upcoming_opponent,upcoming_match_win_probability
Zverev A.,2046,0.2046,Atmane T.,0.8018883016910141
Auger-Aliassime F.,1573,0.1573,Cerundolo J.M.,0.7982373028963269
Medvedev D.,1191,0.1191,Nakashima B.,0.640311444576902
Mensik J.,615,0.0615,Hijikata R.,0.7839776889160952
Fritz T.,586,0.0586,Merida Aguilar D.,0.7037816288767506
Tien L.,448,0.0448,Tiafoe F.,0.5615631936560189
Fils A.,413,0.0413,Lehecka J.,0.5504538358061832
Musetti L.,378,0.0378,Zheng M.,0.7435499078893459
Paul T.,373,0.0373,Vallejo D.,0.7352364488420475
Fonseca J.,355,0.0355,O Connell C.,0.7353363526742671
Jodar R.,321,0.0321,Tabilo A.,0.6419264023221648
Nakashima B.,284,0.0284,Medvedev D.,0.35968855542309797
Tiafoe F.,262,0.0262,Tien L.,0.4384368063439811
Lehecka J.,217,0.0217,Fils A.,0.4495461641938168
Rublev A.,200,0.02,Borges N.,0.5791690282989229
Tirante T.A.,145,0.0145,Landaluce M.,0.6086393258926986
Tabilo A.,74,0.0074,Jodar R.,0.3580735976778352
Cobolli F.,73,0.0073,Blockx A.,0.6020631312540541
Borges N.,62,0.0062,Rublev A.,0.4208309717010771
Merida Aguilar D.,53,0.0053,Fritz T.,0.29621837112324945
Atmane T.,49,0.0049,Zverev A.,0.1981116983089859
Landaluce M.,45,0.0045,Tirante T.A.,0.39136067410730135
Cerundolo J.M.,44,0.0044,Auger-Aliassime F.,0.20176269710367312
Fery A.,43,0.0043,Deminaur A.,0.5321277307776178
Faria J.,35,0.0035,Walton A.,0.5860496788645629
Deminaur A.,30,0.003,Fery A.,0.4678722692223823
Vallejo D.,19,0.0019,Paul T.,0.2647635511579524
Blockx A.,17,0.0017,Cobolli F.,0.39793686874594597
Walton A.,16,0.0016,Faria J.,0.41395032113543706
O Connell C.,14,0.0014,Fonseca J.,0.26466364732573283
Zheng M.,10,0.001,Musetti L.,0.25645009211065406
Hijikata R.,9,0.0009,Mensik J.,0.2160223110839048
Dimitrov G.,0,0.0,,
Baez S.,0,0.0,,
Halys Q.,0,0.0,,
Kopriva V.,0,0.0,,
Hurkacz H.,0,0.0,,
Shimabukuro S.,0,0.0,,
Tsitsipas S.,0,0.0,,
Royer V.,0,0.0,,
Altmaier D.,0,0.0,,
Wong C.,0,0.0,,
Jacquet K.,0,0.0,,
Bellucci M.,0,0.0,,
Monfils G.,0,0.0,,
Svajda Z.,0,0.0,,
Collignon R.,0,0.0,,
Fucsovics M.,0,0.0,,
Draper J.,0,0.0,,
Struff J.L.,0,0.0,,
Navone M.,0,0.0,,
Kecmanovic M.,0,0.0,,
Mannarino A.,0,0.0,,
Ugocarabelli C.,0,0.0,,
Shapovalov D.,0,0.0,,
Choinski J.,0,0.0,,
Norrie C.,0,0.0,,
Prizmic D.,0,0.0,,
Burruchaga R.,0,0.0,,
Vanassche L.,0,0.0,,
Duckworth J.,0,0.0,,
Wolf J.J.,0,0.0,,
Vandezandschulp B.,0,0.0,,
Hanfmann Y.,0,0.0,,
Khachanov K.,0,0.0,,
Kovacevic A.,0,0.0,,
Brooksby J.,0,0.0,,
Cilic M.,0,0.0,,
Marozsan F.,0,0.0,,
Sonego L.,0,0.0,,
Medjedovic H.,0,0.0,,
Trungelliti M.,0,0.0,,
Mejia N.,0,0.0,,
Kokkinakis T.,0,0.0,,
Shang J.,0,0.0,,
Majchrzak K.,0,0.0,,
Shevchenko A.,0,0.0,,
Michelsen A.,0,0.0,,
De Jong J.,0,0.0,,
Lajal M.,0,0.0,,
Berrettini M.,0,0.0,,
Droguet T.,0,0.0,,
Carrenobusta P.,0,0.0,,
Machac T.,0,0.0,,
Arnaldi M.,0,0.0,,
Darderi L.,0,0.0,,
Vacherot V.,0,0.0,,
Djokovic N.,0,0.0,,
Etcheverry T.,0,0.0,,
Ruud C.,0,0.0,,
Rinderknech A.,0,0.0,,
Humbert U.,0,0.0,,
Cerundolo F.,0,0.0,,
Bergs Z.,0,0.0,,
Buse I.,0,0.0,,
Shelton B.,0,0.0,,
