player,win_count,tournament_win_probability,upcoming_opponent,upcoming_match_win_probability
Fils A.,5485,0.5485,Tiafoe F.,0.5591292988090826
Tiafoe F.,4515,0.4515,Fils A.,0.4408707011909174
Landaluce M.,0,0.0,,
Draper J.,0,0.0,,
Burruchaga R.,0,0.0,,
Struff J.L.,0,0.0,,
Norrie C.,0,0.0,,
Prizmic D.,0,0.0,,
Shapovalov D.,0,0.0,,
Mannarino A.,0,0.0,,
Ugocarabelli C.,0,0.0,,
Kecmanovic M.,0,0.0,,
Navone M.,0,0.0,,
Collignon R.,0,0.0,,
Tirante T.A.,0,0.0,,
Choinski J.,0,0.0,,
Hijikata R.,0,0.0,,
Monfils G.,0,0.0,,
Svajda Z.,0,0.0,,
Bellucci M.,0,0.0,,
Jacquet K.,0,0.0,,
Vallejo D.,0,0.0,,
Wong C.,0,0.0,,
Altmaier D.,0,0.0,,
Royer V.,0,0.0,,
Tsitsipas S.,0,0.0,,
Shimabukuro S.,0,0.0,,
Hurkacz H.,0,0.0,,
Kopriva V.,0,0.0,,
Halys Q.,0,0.0,,
Fucsovics M.,0,0.0,,
Atmane T.,0,0.0,,
Dimitrov G.,0,0.0,,
Baez S.,0,0.0,,
Hanfmann Y.,0,0.0,,
Vanassche L.,0,0.0,,
Machac T.,0,0.0,,
Carrenobusta P.,0,0.0,,
Droguet T.,0,0.0,,
Berrettini M.,0,0.0,,
O Connell C.,0,0.0,,
Majchrzak K.,0,0.0,,
Vandezandschulp B.,0,0.0,,
Shevchenko A.,0,0.0,,
Michelsen A.,0,0.0,,
De Jong J.,0,0.0,,
Wolf J.J.,0,0.0,,
Duckworth J.,0,0.0,,
Borges N.,0,0.0,,
Kokkinakis T.,0,0.0,,
Walton A.,0,0.0,,
Mejia N.,0,0.0,,
Shang J.,0,0.0,,
Sonego L.,0,0.0,,
Medjedovic H.,0,0.0,,
Trungelliti M.,0,0.0,,
Marozsan F.,0,0.0,,
Zheng M.,0,0.0,,
Merida Aguilar D.,0,0.0,,
Cilic M.,0,0.0,,
Faria J.,0,0.0,,
Brooksby J.,0,0.0,,
Lajal M.,0,0.0,,
Cerundolo J.M.,0,0.0,,
Khachanov K.,0,0.0,,
Kovacevic A.,0,0.0,,
Blockx A.,0,0.0,,
Arnaldi M.,0,0.0,,
Djokovic N.,0,0.0,,
Mensik J.,0,0.0,,
Tabilo A.,0,0.0,,
Cobolli F.,0,0.0,,
Deminaur A.,0,0.0,,
Darderi L.,0,0.0,,
Paul T.,0,0.0,,
Etcheverry T.,0,0.0,,
Fery A.,0,0.0,,
Lehecka J.,0,0.0,,
Jodar R.,0,0.0,,
Vacherot V.,0,0.0,,
Zverev A.,0,0.0,,
Humbert U.,0,0.0,,
Medvedev D.,0,0.0,,
Ruud C.,0,0.0,,
Fonseca J.,0,0.0,,
Auger-Aliassime F.,0,0.0,,
Musetti L.,0,0.0,,
Rinderknech A.,0,0.0,,
Fritz T.,0,0.0,,
Nakashima B.,0,0.0,,
Rublev A.,0,0.0,,
Cerundolo F.,0,0.0,,
Tien L.,0,0.0,,
Bergs Z.,0,0.0,,
Buse I.,0,0.0,,
Shelton B.,0,0.0,,
