player,win_count,tournament_win_probability,upcoming_opponent,upcoming_match_win_probability
Zverev A.,2145,0.2145,Paul T.,0.7017674513748278
Auger-Aliassime F.,1389,0.1389,Tiafoe F.,0.6155534990831747
Fritz T.,1263,0.1263,O Connell C.,0.8187803878304674
Mensik J.,954,0.0954,Tirante T.A.,0.6976958621474341
Fils A.,921,0.0921,Deminaur A.,0.7884776177788878
Musetti L.,755,0.0755,Faria J.,0.7258468575150511
Nakashima B.,711,0.0711,Borges N.,0.6767656639522621
Jodar R.,594,0.0594,Cobolli F.,0.6331320897604426
Tiafoe F.,447,0.0447,Auger-Aliassime F.,0.3844465009168253
Paul T.,310,0.031,Zverev A.,0.29823254862517223
Cobolli F.,155,0.0155,Jodar R.,0.36686791023955745
Tirante T.A.,130,0.013,Mensik J.,0.30230413785256594
Borges N.,122,0.0122,Nakashima B.,0.3232343360477379
Faria J.,59,0.0059,Musetti L.,0.27415314248494893
O Connell C.,23,0.0023,Fritz T.,0.18121961216953264
Deminaur A.,22,0.0022,Fils A.,0.21152238222111222
Hijikata R.,0,0.0,,
Landaluce M.,0,0.0,,
Norrie C.,0,0.0,,
Draper J.,0,0.0,,
Prizmic D.,0,0.0,,
Burruchaga R.,0,0.0,,
Struff J.L.,0,0.0,,
Choinski J.,0,0.0,,
Shapovalov D.,0,0.0,,
Mannarino A.,0,0.0,,
Ugocarabelli C.,0,0.0,,
Kecmanovic M.,0,0.0,,
Navone M.,0,0.0,,
Collignon R.,0,0.0,,
Fucsovics M.,0,0.0,,
Atmane T.,0,0.0,,
Dimitrov G.,0,0.0,,
Baez S.,0,0.0,,
Halys Q.,0,0.0,,
Kopriva V.,0,0.0,,
Hurkacz H.,0,0.0,,
Shimabukuro S.,0,0.0,,
Tsitsipas S.,0,0.0,,
Royer V.,0,0.0,,
Altmaier D.,0,0.0,,
Wong C.,0,0.0,,
Vallejo D.,0,0.0,,
Jacquet K.,0,0.0,,
Bellucci M.,0,0.0,,
Svajda Z.,0,0.0,,
Monfils G.,0,0.0,,
Hanfmann Y.,0,0.0,,
Cerundolo J.M.,0,0.0,,
Lajal M.,0,0.0,,
Walton A.,0,0.0,,
Kokkinakis T.,0,0.0,,
Machac T.,0,0.0,,
Carrenobusta P.,0,0.0,,
Droguet T.,0,0.0,,
Vanassche L.,0,0.0,,
Duckworth J.,0,0.0,,
Majchrzak K.,0,0.0,,
Vandezandschulp B.,0,0.0,,
Shevchenko A.,0,0.0,,
Michelsen A.,0,0.0,,
De Jong J.,0,0.0,,
Wolf J.J.,0,0.0,,
Berrettini M.,0,0.0,,
Khachanov K.,0,0.0,,
Kovacevic A.,0,0.0,,
Brooksby J.,0,0.0,,
Cilic M.,0,0.0,,
Zheng M.,0,0.0,,
Merida Aguilar D.,0,0.0,,
Marozsan F.,0,0.0,,
Trungelliti M.,0,0.0,,
Mejia N.,0,0.0,,
Medjedovic H.,0,0.0,,
Sonego L.,0,0.0,,
Shang J.,0,0.0,,
Tabilo A.,0,0.0,,
Djokovic N.,0,0.0,,
Blockx A.,0,0.0,,
Arnaldi M.,0,0.0,,
Lehecka J.,0,0.0,,
Darderi L.,0,0.0,,
Etcheverry T.,0,0.0,,
Fery A.,0,0.0,,
Vacherot V.,0,0.0,,
Medvedev D.,0,0.0,,
Rinderknech A.,0,0.0,,
Humbert U.,0,0.0,,
Fonseca J.,0,0.0,,
Ruud C.,0,0.0,,
Rublev A.,0,0.0,,
Cerundolo F.,0,0.0,,
Tien L.,0,0.0,,
Bergs Z.,0,0.0,,
Buse I.,0,0.0,,
Shelton B.,0,0.0,,
