player,win_count,tournament_win_probability,own_match_win_probability
Zverev A.,2312,0.2312,0.8304309839108474
Fritz T.,1760,0.176,0.7575449411432009
Auger-Aliassime F.,1470,0.147,0.8146630024034809
Fils A.,999,0.0999,0.5426708438004817
Mensik J.,963,0.0963,0.7637923861019947
Musetti L.,659,0.0659,0.7405890101694147
Paul T.,420,0.042,0.7305786497646544
Nakashima B.,410,0.041,0.3044844605280276
Tiafoe F.,364,0.0364,0.483011919289854
Jodar R.,278,0.0278,0.5497195171827887
Cobolli F.,119,0.0119,0.5788424646712625
Borges N.,98,0.0098,0.3643503366198728
Tirante T.A.,52,0.0052,0.5143320643327719
Faria J.,45,0.0045,0.5932019391241564
Deminaur A.,32,0.0032,0.4508054181689004
O Connell C.,19,0.0019,0.2949665147017541
Hijikata R.,0,0.0,0.23620761389800526
Landaluce M.,0,0.0,0.4856679356672281
Norrie C.,0,0.0,
Draper J.,0,0.0,
Prizmic D.,0,0.0,
Burruchaga R.,0,0.0,
Struff J.L.,0,0.0,
Choinski J.,0,0.0,
Shapovalov D.,0,0.0,
Mannarino A.,0,0.0,
Ugocarabelli C.,0,0.0,
Kecmanovic M.,0,0.0,
Navone M.,0,0.0,
Collignon R.,0,0.0,
Fucsovics M.,0,0.0,
Atmane T.,0,0.0,0.16956901608915265
Dimitrov G.,0,0.0,
Baez S.,0,0.0,
Halys Q.,0,0.0,
Kopriva V.,0,0.0,
Hurkacz H.,0,0.0,
Shimabukuro S.,0,0.0,
Tsitsipas S.,0,0.0,
Royer V.,0,0.0,
Altmaier D.,0,0.0,
Wong C.,0,0.0,
Vallejo D.,0,0.0,0.26942135023534564
Jacquet K.,0,0.0,
Bellucci M.,0,0.0,
Svajda Z.,0,0.0,
Monfils G.,0,0.0,
Hanfmann Y.,0,0.0,
Cerundolo J.M.,0,0.0,0.18533699759651912
Lajal M.,0,0.0,
Walton A.,0,0.0,0.4067980608758436
Kokkinakis T.,0,0.0,
Machac T.,0,0.0,
Carrenobusta P.,0,0.0,
Droguet T.,0,0.0,
Vanassche L.,0,0.0,
Duckworth J.,0,0.0,
Majchrzak K.,0,0.0,
Vandezandschulp B.,0,0.0,
Shevchenko A.,0,0.0,
Michelsen A.,0,0.0,
De Jong J.,0,0.0,
Wolf J.J.,0,0.0,
Berrettini M.,0,0.0,
Khachanov K.,0,0.0,
Kovacevic A.,0,0.0,
Brooksby J.,0,0.0,
Cilic M.,0,0.0,
Zheng M.,0,0.0,0.2594109898305853
Merida Aguilar D.,0,0.0,0.24245505885679913
Marozsan F.,0,0.0,
Trungelliti M.,0,0.0,
Mejia N.,0,0.0,
Medjedovic H.,0,0.0,
Sonego L.,0,0.0,
Shang J.,0,0.0,
Tabilo A.,0,0.0,0.4502804828172113
Djokovic N.,0,0.0,
Blockx A.,0,0.0,0.42115753532873745
Arnaldi M.,0,0.0,
Lehecka J.,0,0.0,0.45732915619951825
Darderi L.,0,0.0,
Etcheverry T.,0,0.0,
Fery A.,0,0.0,0.5491945818310996
Vacherot V.,0,0.0,
Medvedev D.,0,0.0,0.6955155394719724
Rinderknech A.,0,0.0,
Humbert U.,0,0.0,
Fonseca J.,0,0.0,0.7050334852982458
Ruud C.,0,0.0,
Rublev A.,0,0.0,0.6356496633801272
Cerundolo F.,0,0.0,
Tien L.,0,0.0,0.516988080710146
Bergs Z.,0,0.0,
Buse I.,0,0.0,
Shelton B.,0,0.0,
